               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.023898,            0.010716,           0.0036616,             0.93425,             0.94398,             0.96826,             0.74208,            0.025604,            0.003891,           0.0011904,           0.0053587,           0.0053587,           0.0053587
                  53,            0.024079,            0.011037,           0.0037021,             0.96217,             0.94599,              0.9728,             0.77743,             0.02382,           0.0036012,           0.0011062,           0.0052174,           0.0052174,           0.0052174
                  54,            0.024267,            0.010732,           0.0039999,             0.96674,             0.96224,             0.97501,             0.75971,            0.024368,           0.0037439,          0.00082444,           0.0050765,           0.0050765,           0.0050765
                  55,              0.0234,            0.010544,           0.0036034,             0.96741,              0.9177,             0.96907,             0.76157,            0.023951,           0.0037804,            0.001231,            0.004936,            0.004936,            0.004936
                  56,            0.022559,            0.010758,           0.0038992,              0.9643,             0.95947,             0.97627,             0.78061,            0.023099,           0.0035443,          0.00075155,            0.004796,            0.004796,            0.004796
                  57,            0.023675,            0.010414,           0.0040354,              0.9358,             0.95397,             0.96959,             0.76086,            0.023965,           0.0037328,           0.0008737,           0.0046568,           0.0046568,           0.0046568
                  58,            0.023056,            0.010499,           0.0042311,             0.95759,             0.94038,             0.97402,             0.76802,             0.02449,           0.0037762,          0.00095525,           0.0045184,           0.0045184,           0.0045184
                  59,            0.022256,             0.01072,           0.0043213,             0.96106,             0.92617,             0.96414,             0.75186,            0.024625,           0.0041189,            0.001248,           0.0043809,           0.0043809,           0.0043809
                  60,            0.023126,            0.010672,           0.0040701,             0.93931,             0.93598,             0.96078,             0.73106,            0.026488,            0.004087,           0.0011949,           0.0042445,           0.0042445,           0.0042445
                  61,            0.023101,            0.010861,           0.0045032,             0.90967,             0.93566,              0.9529,             0.70397,            0.026598,           0.0042861,           0.0014937,           0.0041094,           0.0041094,           0.0041094
                  62,            0.023025,            0.010944,           0.0037886,             0.94006,             0.95342,              0.9693,             0.76156,            0.024242,           0.0036886,          0.00081561,           0.0039757,           0.0039757,           0.0039757
                  63,            0.022158,            0.010685,           0.0036018,             0.97386,             0.96015,             0.97486,              0.7909,              0.0224,           0.0035201,          0.00062026,           0.0038434,           0.0038434,           0.0038434
                  64,             0.02171,            0.010179,           0.0033484,             0.95266,              0.9615,             0.97552,              0.7878,             0.02191,           0.0035705,          0.00037092,           0.0037128,           0.0037128,           0.0037128
                  65,            0.022595,            0.010277,           0.0033088,             0.94928,                0.97,             0.97637,             0.79014,            0.023654,           0.0034575,          0.00052617,            0.003584,            0.003584,            0.003584
                  66,            0.021665,            0.010191,           0.0037392,             0.96724,             0.95253,             0.97744,             0.79945,            0.021973,           0.0033409,          0.00063714,            0.003457,            0.003457,            0.003457
                  67,            0.021349,            0.010279,            0.003027,             0.96947,             0.96143,             0.97629,             0.78364,            0.022403,           0.0034738,          0.00065497,           0.0033321,           0.0033321,           0.0033321
                  68,            0.021151,            0.010292,           0.0030686,              0.9679,             0.93979,              0.9743,             0.79232,            0.022222,           0.0035188,           0.0006904,           0.0032093,           0.0032093,           0.0032093
                  69,            0.020649,            0.010302,           0.0028792,             0.95226,             0.97099,             0.97902,             0.80154,             0.02153,           0.0033473,          0.00052602,           0.0030888,           0.0030888,           0.0030888
                  70,            0.021842,            0.010108,           0.0031652,             0.94558,             0.97851,             0.98061,             0.80617,            0.021552,           0.0033655,          0.00055316,           0.0029706,           0.0029706,           0.0029706
                  71,            0.021095,           0.0099379,            0.002787,             0.98104,             0.96847,             0.98159,             0.80717,            0.021206,           0.0032482,          0.00046078,            0.002855,            0.002855,            0.002855
                  72,            0.020545,            0.009727,           0.0026512,             0.98447,             0.95535,             0.98159,             0.80687,            0.020202,           0.0032318,          0.00043472,           0.0027419,           0.0027419,           0.0027419
                  73,            0.020261,            0.009821,           0.0028261,             0.97922,             0.94582,             0.97701,             0.81252,            0.020715,           0.0033268,          0.00054238,           0.0026316,           0.0026316,           0.0026316
                  74,            0.021181,           0.0097737,           0.0026415,             0.97011,             0.97088,             0.97987,             0.81577,            0.020378,            0.003257,          0.00038556,           0.0025241,           0.0025241,           0.0025241
                  75,            0.019538,           0.0096336,           0.0027808,             0.98174,             0.97263,             0.98131,             0.82267,            0.019694,           0.0031623,          0.00034712,           0.0024195,           0.0024195,           0.0024195
                  76,            0.020232,           0.0097154,           0.0026157,              0.9863,             0.96454,             0.98176,             0.82311,            0.020367,           0.0031898,          0.00049165,            0.002318,            0.002318,            0.002318
                  77,            0.019832,            0.009511,           0.0025848,             0.97689,             0.97783,             0.98169,              0.8111,            0.020624,           0.0032493,          0.00039599,           0.0022196,           0.0022196,           0.0022196
                  78,            0.019452,           0.0094023,             0.00238,             0.98423,              0.9597,              0.9794,             0.82074,            0.019995,            0.003211,          0.00041997,           0.0021245,           0.0021245,           0.0021245
                  79,            0.019442,           0.0095688,           0.0026159,             0.98491,             0.96202,              0.9795,             0.81534,            0.019474,           0.0032633,          0.00037659,           0.0020327,           0.0020327,           0.0020327
                  80,            0.018894,            0.009524,           0.0024971,             0.98133,             0.97624,             0.98216,             0.82585,            0.019474,           0.0031919,          0.00038988,           0.0019443,           0.0019443,           0.0019443
                  81,            0.019195,           0.0094203,           0.0023884,             0.97566,             0.96992,             0.98001,             0.82364,            0.019471,           0.0032458,           0.0005742,           0.0018594,           0.0018594,           0.0018594
                  82,            0.019391,           0.0095214,           0.0024253,             0.97505,             0.97057,             0.97997,             0.82362,            0.019456,            0.003119,          0.00037476,           0.0017781,           0.0017781,           0.0017781
                  83,            0.019002,           0.0094723,            0.002511,             0.98993,             0.96324,             0.98134,               0.827,            0.019459,           0.0031215,          0.00043498,           0.0017005,           0.0017005,           0.0017005
                  84,            0.018561,           0.0092957,           0.0023851,             0.97056,             0.97894,              0.9816,             0.82464,             0.01915,           0.0031305,          0.00036783,           0.0016267,           0.0016267,           0.0016267
                  85,            0.018676,           0.0091799,            0.002656,             0.96197,             0.97693,              0.9822,             0.82242,            0.018981,           0.0032276,          0.00028024,           0.0015566,           0.0015566,           0.0015566
                  86,            0.018482,           0.0093052,           0.0024058,             0.97797,             0.97617,             0.98353,              0.8234,            0.019032,           0.0031649,          0.00036021,           0.0014905,           0.0014905,           0.0014905
                  87,            0.018665,           0.0093641,           0.0022403,             0.98297,             0.98011,             0.98374,             0.82796,            0.018941,           0.0030911,          0.00031346,           0.0014283,           0.0014283,           0.0014283
                  88,            0.018808,           0.0094086,           0.0023883,             0.98419,             0.97656,             0.98393,             0.82359,            0.019203,           0.0031482,          0.00030581,           0.0013701,           0.0013701,           0.0013701
                  89,            0.018093,           0.0091122,           0.0023734,             0.98588,             0.96767,             0.98336,              0.8308,            0.018749,           0.0030924,          0.00038299,            0.001316,            0.001316,            0.001316
                  90,            0.018197,           0.0091485,           0.0024454,             0.98959,             0.96569,             0.98374,             0.83168,            0.018121,           0.0030484,          0.00028135,            0.001266,            0.001266,            0.001266
                  91,            0.017988,           0.0089744,           0.0024467,             0.97661,              0.9786,             0.98173,             0.83384,            0.018622,           0.0031302,          0.00028892,           0.0012202,           0.0012202,           0.0012202
                  92,            0.018258,           0.0091488,           0.0022251,             0.99161,             0.96855,             0.98336,             0.83121,            0.018565,           0.0030331,          0.00023217,           0.0011787,           0.0011787,           0.0011787
                  93,            0.018252,           0.0089616,           0.0020484,             0.98571,             0.97572,             0.98313,             0.84032,            0.018414,           0.0030021,          0.00024259,           0.0011414,           0.0011414,           0.0011414
                  94,            0.017957,           0.0090077,           0.0020336,             0.97855,             0.96707,             0.98163,             0.84055,            0.018818,           0.0030058,          0.00022536,           0.0011084,           0.0011084,           0.0011084
                  95,            0.017569,           0.0089027,           0.0020646,              0.9675,             0.97855,             0.98234,             0.83812,            0.019042,           0.0030846,          0.00026415,           0.0010797,           0.0010797,           0.0010797
                  96,            0.017191,           0.0087813,           0.0020035,             0.97713,             0.97873,             0.98194,             0.83549,            0.018583,           0.0030639,           0.0002144,           0.0010554,           0.0010554,           0.0010554
                  97,            0.018449,           0.0090316,           0.0023422,             0.98033,             0.97069,             0.98194,             0.84044,            0.018231,           0.0030254,          0.00021433,           0.0010355,           0.0010355,           0.0010355
                  98,            0.017649,            0.009116,            0.002269,              0.9753,              0.9745,             0.98148,             0.83751,            0.018562,           0.0031232,          0.00022769,             0.00102,             0.00102,             0.00102
                  99,            0.018086,           0.0089142,            0.002064,             0.97931,              0.9644,             0.98114,             0.83634,            0.019028,           0.0030793,          0.00022525,           0.0010089,           0.0010089,           0.0010089
