               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.028732,            0.013707,           0.0074659,              0.8788,             0.91076,             0.94211,             0.66899,            0.030311,            0.004624,           0.0010683,            0.004796,            0.004796,            0.004796
                  57,            0.029934,             0.01305,           0.0070062,             0.90359,             0.91223,             0.95068,             0.67113,            0.029601,           0.0046022,           0.0014815,           0.0046568,           0.0046568,           0.0046568
                  58,            0.028915,            0.012971,            0.007514,             0.91356,             0.92247,             0.94282,             0.66099,            0.030535,           0.0045698,           0.0013525,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027724,            0.013046,           0.0068357,              0.9365,             0.89758,             0.94874,             0.68104,            0.028169,           0.0044997,           0.0011001,           0.0043809,           0.0043809,           0.0043809
                  60,            0.028655,            0.013051,            0.006782,             0.92599,             0.91716,             0.95425,             0.69874,            0.027669,           0.0044801,          0.00089134,           0.0042445,           0.0042445,           0.0042445
                  61,            0.027885,             0.01307,           0.0061015,             0.92617,             0.89076,             0.94778,             0.66505,             0.02967,           0.0045176,          0.00093881,           0.0041094,           0.0041094,           0.0041094
                  62,            0.027663,            0.012755,           0.0056656,             0.91709,             0.93451,             0.95652,             0.69052,            0.027777,           0.0043202,          0.00074555,           0.0039757,           0.0039757,           0.0039757
                  63,            0.026423,            0.012886,           0.0061137,             0.89602,             0.93603,             0.95542,               0.709,            0.027361,           0.0042612,          0.00098295,           0.0038434,           0.0038434,           0.0038434
                  64,            0.026857,            0.012396,           0.0058483,             0.89569,              0.9374,             0.95839,             0.71392,            0.026722,           0.0042713,           0.0011431,           0.0037128,           0.0037128,           0.0037128
                  65,            0.028105,            0.012526,           0.0055721,             0.91883,             0.92947,             0.96047,             0.72074,            0.027163,           0.0042207,          0.00074421,            0.003584,            0.003584,            0.003584
                  66,            0.026514,            0.012346,           0.0059534,             0.91758,             0.94526,             0.95988,             0.69763,            0.027845,            0.004235,          0.00073782,            0.003457,            0.003457,            0.003457
                  67,            0.025958,            0.012557,           0.0057682,             0.87184,             0.92988,              0.9364,             0.64259,              0.0281,           0.0045884,          0.00091882,           0.0033321,           0.0033321,           0.0033321
                  68,            0.026327,            0.012676,           0.0059323,              0.9327,             0.92993,             0.95657,             0.70613,             0.02687,           0.0041988,           0.0010129,           0.0032093,           0.0032093,           0.0032093
                  69,            0.026063,            0.012591,           0.0054178,             0.92367,             0.94202,             0.95619,             0.71651,            0.026943,           0.0042337,           0.0010474,           0.0030888,           0.0030888,           0.0030888
                  70,            0.026905,            0.012323,            0.005585,             0.93465,              0.9239,             0.95798,             0.73047,            0.027006,           0.0040676,          0.00077308,           0.0029706,           0.0029706,           0.0029706
                  71,            0.025959,            0.012244,           0.0052002,             0.92768,              0.9418,             0.97024,             0.74563,            0.025649,           0.0039275,          0.00067685,            0.002855,            0.002855,            0.002855
                  72,            0.025082,            0.011824,           0.0048726,             0.92362,             0.94334,             0.96078,             0.74258,            0.025333,           0.0040155,          0.00061573,           0.0027419,           0.0027419,           0.0027419
                  73,            0.025259,            0.012023,           0.0048593,             0.93704,             0.93265,             0.96482,               0.742,            0.025275,           0.0040634,          0.00056284,           0.0026316,           0.0026316,           0.0026316
                  74,            0.025879,            0.011931,           0.0046877,             0.94562,             0.94588,             0.96295,             0.73789,            0.024783,           0.0039255,          0.00068505,           0.0025241,           0.0025241,           0.0025241
                  75,            0.024383,            0.011846,           0.0048887,             0.93636,             0.94871,              0.9649,              0.7422,            0.025099,           0.0039213,          0.00075688,           0.0024195,           0.0024195,           0.0024195
                  76,            0.024674,            0.011849,           0.0044034,             0.96911,             0.92703,              0.9687,             0.75964,            0.024806,           0.0038834,          0.00076682,            0.002318,            0.002318,            0.002318
                  77,            0.024533,            0.011574,           0.0044494,             0.95534,             0.94479,             0.96998,             0.75405,             0.02444,           0.0038164,           0.0007367,           0.0022196,           0.0022196,           0.0022196
                  78,            0.023889,            0.011504,           0.0040248,             0.92686,             0.95357,             0.96182,             0.74443,            0.025528,           0.0039444,          0.00086508,           0.0021245,           0.0021245,           0.0021245
                  79,            0.023729,            0.011601,           0.0042385,             0.95805,              0.9456,             0.97164,             0.76212,            0.023861,           0.0037873,          0.00060381,           0.0020327,           0.0020327,           0.0020327
                  80,            0.023007,            0.011471,           0.0043406,             0.94193,             0.94874,             0.97232,             0.76042,              0.0249,           0.0038436,          0.00063587,           0.0019443,           0.0019443,           0.0019443
                  81,            0.023701,            0.011366,           0.0046033,             0.96881,             0.94262,              0.9739,             0.77272,            0.023844,            0.003726,          0.00059303,           0.0018594,           0.0018594,           0.0018594
                  82,             0.02345,            0.011553,           0.0042208,              0.9571,             0.92947,             0.96914,             0.75842,            0.023849,           0.0037231,          0.00077477,           0.0017781,           0.0017781,           0.0017781
                  83,            0.023419,            0.011413,           0.0041184,              0.9467,             0.95994,             0.97234,             0.77014,            0.024042,           0.0037333,          0.00060877,           0.0017005,           0.0017005,           0.0017005
                  84,            0.022582,            0.011147,           0.0038145,             0.94032,             0.96155,             0.96912,             0.76566,            0.023541,           0.0036957,            0.000562,           0.0016267,           0.0016267,           0.0016267
                  85,            0.022621,            0.010853,             0.00388,             0.95466,             0.94674,             0.97059,             0.77177,            0.022736,           0.0037002,          0.00066027,           0.0015566,           0.0015566,           0.0015566
                  86,            0.022409,            0.011003,            0.003989,             0.95022,             0.94992,             0.97103,              0.7695,            0.023055,           0.0037374,          0.00067163,           0.0014905,           0.0014905,           0.0014905
                  87,            0.022742,            0.011184,           0.0040649,             0.95393,             0.96207,             0.97685,             0.77005,            0.022249,           0.0036707,           0.0005356,           0.0014283,           0.0014283,           0.0014283
