               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.024766,            0.011345,           0.0052083,             0.95268,             0.96096,             0.96685,             0.75194,            0.026065,            0.003696,           0.0010097,           0.0041094,           0.0041094,           0.0041094
                  62,             0.02415,            0.011204,           0.0045982,             0.97267,             0.94716,             0.96751,             0.76672,            0.024915,            0.003588,          0.00056414,           0.0039757,           0.0039757,           0.0039757
                  63,            0.023843,            0.011307,           0.0050565,             0.95795,             0.94352,             0.96547,             0.75518,            0.025883,           0.0037588,          0.00093315,           0.0038434,           0.0038434,           0.0038434
                  64,            0.024077,            0.010982,           0.0049856,             0.95022,             0.95019,             0.96644,             0.75815,            0.025421,           0.0037346,          0.00051665,           0.0037128,           0.0037128,           0.0037128
                  65,            0.024354,            0.011209,           0.0051557,              0.9545,             0.93501,             0.96548,             0.76965,            0.024161,           0.0035847,           0.0006001,            0.003584,            0.003584,            0.003584
                  66,            0.023542,            0.010822,            0.004933,             0.94404,             0.95691,             0.96609,             0.76738,            0.025143,           0.0035789,           0.0005714,            0.003457,            0.003457,            0.003457
                  67,            0.023396,            0.011049,           0.0046125,             0.95929,             0.94798,             0.96442,             0.76868,            0.024747,           0.0035457,          0.00060328,           0.0033321,           0.0033321,           0.0033321
                  68,            0.023009,            0.010905,           0.0046276,             0.95234,             0.96077,             0.96939,             0.76998,            0.024187,           0.0034825,          0.00090753,           0.0032093,           0.0032093,           0.0032093
                  69,            0.023035,            0.010981,           0.0045885,             0.97141,             0.94463,             0.96904,             0.76678,            0.024894,           0.0034663,           0.0013107,           0.0030888,           0.0030888,           0.0030888
                  70,            0.022959,            0.010754,           0.0040861,             0.95903,             0.95389,             0.96815,             0.77237,            0.024355,           0.0035557,          0.00049998,           0.0029706,           0.0029706,           0.0029706
                  71,             0.02271,            0.010712,           0.0043822,             0.95842,             0.97496,             0.97303,             0.78085,            0.023884,           0.0034373,          0.00040471,            0.002855,            0.002855,            0.002855
                  72,             0.02222,            0.010331,           0.0042608,             0.96205,             0.95955,             0.97263,             0.76548,            0.024486,           0.0035963,          0.00052823,           0.0027419,           0.0027419,           0.0027419
                  73,            0.022093,             0.01051,           0.0043357,             0.96719,             0.96308,             0.97147,             0.77524,            0.024133,           0.0035727,          0.00049042,           0.0026316,           0.0026316,           0.0026316
                  74,            0.022447,            0.010342,           0.0037747,             0.97444,             0.96005,             0.97084,              0.7781,            0.024638,           0.0035742,          0.00053003,           0.0025241,           0.0025241,           0.0025241
                  75,            0.021861,            0.010211,            0.004161,             0.96574,             0.95853,             0.96921,             0.79176,            0.022226,           0.0034134,          0.00034207,           0.0024195,           0.0024195,           0.0024195
                  76,            0.022013,            0.010274,           0.0034369,             0.96198,             0.97426,             0.97769,             0.79723,            0.022132,           0.0033184,          0.00032762,            0.002318,            0.002318,            0.002318
                  77,            0.021502,            0.010037,           0.0037583,             0.97493,             0.96965,             0.97543,             0.79784,            0.022073,           0.0032818,          0.00030952,           0.0022196,           0.0022196,           0.0022196
                  78,            0.021174,            0.010044,           0.0034117,             0.95566,             0.96896,             0.97419,             0.79616,            0.022021,           0.0033573,          0.00032141,           0.0021245,           0.0021245,           0.0021245
                  79,             0.02114,            0.010218,           0.0037614,             0.97715,             0.95978,             0.97048,             0.79914,            0.021874,           0.0034068,          0.00036165,           0.0020327,           0.0020327,           0.0020327
                  80,            0.020904,            0.010066,           0.0034845,             0.97221,             0.97122,             0.97555,              0.7995,            0.022199,           0.0033031,          0.00032928,           0.0019443,           0.0019443,           0.0019443
                  81,             0.02093,           0.0099585,           0.0032411,             0.95902,             0.97299,             0.97547,              0.8029,            0.021966,           0.0032755,          0.00033635,           0.0018594,           0.0018594,           0.0018594
                  82,            0.020979,            0.010004,           0.0031972,             0.97934,              0.9771,             0.97791,             0.80861,            0.021954,            0.003219,          0.00027421,           0.0017781,           0.0017781,           0.0017781
                  83,            0.020486,            0.009934,             0.00348,             0.97919,             0.97574,              0.9782,             0.80175,            0.022651,           0.0032059,          0.00032642,           0.0017005,           0.0017005,           0.0017005
